Professor,Average Rating,Mode Rating,Department,Would Take Again,Level of Difficulty,Num Ratings,School
d0c6667d,3.9,3.9,History,67%,3.3,238,UC San Diego
c8daa400,1.9,1.9,Management,14%,3.8,234,UC San Diego
a528d6a0,2.8,2.8,Mathematics,45%,4.1,216,UC San Diego
eedadd80,3.9,3.9,Biology,81%,3,164,UC San Diego
312bda39,4.2,4.2,Biological Sciences,80%,3.1,135,UC San Diego
32cfb9ba,4.2,4.2,Psychology,80%,3.1,121,UC San Diego
00fca387,4.2,4.2,Cognitive Science,83%,3.1,118,UC San Diego
7652efc1,2.8,2.8,Biological Sciences,45%,3.7,117,UC San Diego
8ff910da,4.9,4.9,Cognitive Science,99%,2.3,103,UC San Diego
46a51d2c,3.8,3.8,Business,69%,2.8,86,UC San Diego
78faf0ee,4.6,4.6,Psychology,90%,2.4,75,UC San Diego
ab39aa84,3.8,3.8,Art History,92%,1.8,64,UC San Diego
349e1e4c,4.3,4.3,Computer Science,80%,3,63,UC San Diego
38990052,4.5,4.5,Music,80%,1.2,60,UC San Diego
79670ccc,5.0,5.0,Languages,100%,2.8,56,UC San Diego
c48ea797,2.2,2.2,Chemistry,22%,4.1,56,UC San Diego
7a3b7d43,4.3,4.3,Biology,94%,2.5,52,UC San Diego
014883e3,3.9,3.9,Psychology,72%,3.4,49,UC San Diego
404134d8,2.7,2.7,Business,37%,2.8,46,UC San Diego
ee2fb3ab,3.4,3.4,Biology,57%,3.1,46,UC San Diego
bf40775c,3.2,3.2,Chemistry,60%,3.6,45,UC San Diego
a43ac0ab,3.7,3.7,Management,61%,3,41,UC San Diego
71f050d2,2.6,2.6,Mathematics,40%,3.3,40,UC San Diego
d7d9afd1,3.4,3.4,Marketing,63%,2.8,40,UC San Diego
8f570b93,4.0,4.0,Biology,78%,2.8,36,UC San Diego
b55e5824,4.5,4.5,Linguistics,90%,2.2,30,UC San Diego
677052a8,4.5,4.5,Engineering,87%,3,29,UC San Diego
61d1ebc9,4.2,4.2,Cognitive Science,100%,2.2,28,UC San Diego
2cefa0b0,1.6,1.6,Mathematics,20%,4.5,26,UC San Diego
21268867,3.4,3.4,Fine Arts,50%,3.2,26,UC San Diego
43e80e69,3.1,3.1,Visual Arts,42%,2.4,24,UC San Diego
55e0ddd6,3.5,3.5,Philosophy,48%,3.3,21,UC San Diego
3afdc46f,2.7,2.7,Psychology,30%,4.2,17,UC San Diego
8c9d7d3e,3.7,3.7,Biological Sciences,63%,2.1,16,UC San Diego
d85fb425,4.1,4.1,Management,60%,2.7,15,UC San Diego
8ed8968e,3.2,3.2,Cognitive Science,67%,2.7,15,UC San Diego
18e781a0,4.7,4.7,Music,94%,1.1,15,UC San Diego
11b6fcc2,3.7,3.7,Data Science,77%,2.2,13,UC San Diego
eb095c7b,2.5,2.5,Theater,29%,2.9,12,UC San Diego
6579b430,4.3,4.3,Visual Arts,82%,3.2,11,UC San Diego
c3374088,1.6,1.6,Mathematics,10%,3.8,11,UC San Diego
d381ceca,4.6,4.6,Anthropology,100%,1.9,10,UC San Diego
a396fec7,4.7,4.7,Biological Sciences,90%,4.1,10,UC San Diego
65cd1ad8,2.1,2.1,Humanities,12%,3.3,9,UC San Diego
854c50b3,3.8,3.8,Humanities,67%,3,9,UC San Diego
e40d6cbf,1.0,1.0,Mathematics,0%,4.6,8,UC San Diego
489e6fbe,4.7,4.7,Theater,100%,1.5,8,UC San Diego
b927375e,4.6,4.6,Music,100%,1.6,7,UC San Diego
84d68034,3.7,3.7,Biology,72%,3.3,7,UC San Diego
a22d5df3,4.0,4.0,Literature,84%,1.5,6,UC San Diego
19da949b,4.5,4.5,Music,100%,2,6,UC San Diego
d24b1b1e,5.0,5.0,English,100%,1.2,5,UC San Diego
24ef8711,4.8,4.8,Mathematics,100%,3.2,5,UC San Diego
64e2e088,4.6,4.6,Humanities,80%,2.6,5,UC San Diego
1210b222,3.8,3.8,Philosophy,50%,2,4,UC San Diego
91e3a9aa,5.0,5.0,Writing,100%,2.5,4,UC San Diego
12608a1c,1.0,1.0,Political Science,0%,3.7,3,UC San Diego
0aeb8ca7,3.7,3.7,Ethnic Studies,67%,1.3,3,UC San Diego
756e2f29,3.7,3.7,Mathematics,67%,3.7,3,UC San Diego
62422c47,5.0,5.0,Mathematics,100%,2.7,3,UC San Diego
ae24742c,5.0,5.0,Philosophy,100%,3,3,UC San Diego
a8e247bb,4.5,4.5,Languages,50%,3,2,UC San Diego
603b3b56,4.0,4.0,Chemistry,58%,3.6,216,UC San Diego
c58c6b9f,4.3,4.3,Chemistry,78%,3.2,206,UC San Diego
a52df8e5,3.4,3.4,Physics,60%,3.4,136,UC San Diego
90226482,2.7,2.7,Mathematics,42%,4.2,68,UC San Diego
556f84bf,3.5,3.5,Computer Science,59%,3.3,54,UC San Diego
d38e5489,3.2,3.2,Psychology,48%,3.1,51,UC San Diego
db6259a2,4.8,4.8,Chemistry,96%,2.8,50,UC San Diego
bc58fe84,2.4,2.4,Communication,38%,3.9,48,UC San Diego
e599253d,4.5,4.5,Computer Science,88%,2.8,47,UC San Diego
f7c51494,4.4,4.4,Physics,84%,2.8,46,UC San Diego
9fe6fff4,3.6,3.6,Human Development,67%,3.1,43,UC San Diego
2dccb605,3.9,3.9,Economics,61%,3.7,43,UC San Diego
de460d74,2.7,2.7,Engineering,8%,4,35,UC San Diego
1724ac6b,4.9,4.9,Sociology,97%,2.5,26,UC San Diego
6d3f766d,3.4,3.4,Physics,64%,3.7,25,UC San Diego
cb3a1ec4,3.7,3.7,Sociology,92%,2.7,19,UC San Diego
fe950321,4.8,4.8,Languages,100%,2.4,18,UC San Diego
854c50b3,3.9,3.9,History,71%,3.2,17,UC San Diego
c8e76086,4.3,4.3,Visual Arts,83%,2.3,17,UC San Diego
7bb36e13,4.2,4.2,Ethnic Studies,77%,2,17,UC San Diego
c18c9ad4,4.1,4.1,Sociology,74%,1.9,15,UC San Diego
5a75f3a4,3.5,3.5,Philosophy,50%,2.8,14,UC San Diego
89c2f47a,1.6,1.6,Computer Science,15%,4.1,14,UC San Diego
0d85d708,2.6,2.6,Mathematics,39%,3.6,13,UC San Diego
b0c127dc,5.0,5.0,English,100%,2.9,10,UC San Diego
c8f5023f,4.9,4.9,Human Development,100%,2.2,9,UC San Diego
005d2b99,4.4,4.4,Sociology,89%,3.1,9,UC San Diego
298da05f,4.9,4.9,Urban Planning,100%,1.7,7,UC San Diego
ae48ca2e,1.6,1.6,Urban Studies,15%,3.4,7,UC San Diego
3b4fc877,5.0,5.0,Music,100%,1,4,UC San Diego
aa225cfe,3.3,3.3,Theater,67%,3,3,UC San Diego
33f05fce,2.7,2.7,Sociology,34%,3.3,3,UC San Diego
e8871302,4.5,4.5,Urban Planning,100%,1.5,2,UC San Diego
e5836431,1.0,1.0,Urban Planning,0%,5,1,UC San Diego
fe40128c,3.1,3.1,Biology,47%,3.8,159,UC San Diego
7f49b998,3.9,3.9,Biological Sciences,73%,3.2,113,UC San Diego
2654aa35,3.8,3.8,Chemistry,67%,3.8,104,UC San Diego
817e7aa6,3.9,3.9,Chemistry,64%,3.5,81,UC San Diego
a2c50c5f,3.8,3.8,Writing,60%,3.1,67,UC San Diego
eea29abd,2.3,2.3,Languages,28%,3.3,54,UC San Diego
6a61e260,3.3,3.3,Psychology,54%,3.1,51,UC San Diego
0bda2e57,4.4,4.4,Humanities,75%,3.2,43,UC San Diego
75a5ee62,3.4,3.4,Anthropology,67%,2.7,36,UC San Diego
bbc52ffd,4.8,4.8,Economics,97%,2,28,UC San Diego
48275fa9,4.3,4.3,Literature,64%,3.2,26,UC San Diego
f2c9335c,4.8,4.8,English,96%,3.2,24,UC San Diego
85ea846b,4.8,4.8,Humanities,95%,2.4,20,UC San Diego
cf6042ed,3.8,3.8,Engineering,75%,3.1,20,UC San Diego
b8eb0986,4.2,4.2,Literature,86%,2.7,20,UC San Diego
15affea5,4.1,4.1,Cognitive Science,82%,1.9,16,UC San Diego
14dcc774,4.4,4.4,Communication,94%,1.7,15,UC San Diego
e04ac447,4.4,4.4,Anthropology,100%,2.5,14,UC San Diego
d1404ed2,5.0,5.0,Anthropology,100%,1.8,13,UC San Diego
61683b59,3.1,3.1,Sociology,34%,3.4,12,UC San Diego
a968b33d,2.6,2.6,Data Science,34%,2.9,12,UC San Diego
d2b9faa6,4.6,4.6,Mathematics,100%,2.6,11,UC San Diego
a858b85b,3.7,3.7,Languages,78%,3.1,9,UC San Diego
55dc6de7,5.0,5.0,Mathematics,100%,1.3,9,UC San Diego
53afa54a,4.1,4.1,Communication,72%,2.3,7,UC San Diego
935353dd,3.2,3.2,Mathematics,40%,3.8,5,UC San Diego
8e7460d7,3.0,3.0,Linguistics,34%,4.3,3,UC San Diego
0dfc9d04,4.3,4.3,Literature,67%,1.7,3,UC San Diego
9ab29efb,1.3,1.3,Biology,0%,3.3,3,UC San Diego
396c27fb,5.0,5.0,Public Health,100%,1.5,2,UC San Diego
77e41bb9,3.1,3.1,Physics,89%,3.1,174,UC San Diego
c1dd36a6,3.7,3.7,Mathematics,65%,3.7,154,UC San Diego
ad81c843,3.5,3.5,Chemistry,55%,3.6,135,UC San Diego
01ac8da1,3.7,3.7,Chemistry,68%,3.4,118,UC San Diego
2e3bea0e,3.2,3.2,Physics,50%,4,108,UC San Diego
76c527c1,3.2,3.2,Chemistry,40%,3.9,101,UC San Diego
2d177402,4.6,4.6,Biology,100%,2.4,67,UC San Diego
bd494241,3.2,3.2,Communication,22%,3.4,57,UC San Diego
40f6e71a,3.9,3.9,History,78%,2.3,55,UC San Diego
675237f9,3.8,3.8,Chemistry,73%,3.5,47,UC San Diego
6649ad32,3.5,3.5,Humanities,66%,2.4,42,UC San Diego
0af8c748,2.8,2.8,Philosophy,50%,3.4,34,UC San Diego
0e21d33b,2.7,2.7,Art History,30%,3.2,27,UC San Diego
dbc6366a,2.2,2.2,Mathematics,32%,3.9,25,UC San Diego
0eb4cb29,3.6,3.6,Electrical Engineering & Computer Science,71%,3.4,17,UC San Diego
46a23a4b,3.6,3.6,Philosophy,75%,3.2,16,UC San Diego
8f0e5100,4.1,4.1,Literature,73%,2.5,11,UC San Diego
f771c305,4.9,4.9,Gender Studies,100%,2.1,9,UC San Diego
9c6f5334,5.0,5.0,Data Science,100%,3,2,UC San Diego
924c89ab,4.0,4.0,Engineering,100%,4,1,UC San Diego
17736fb7,4.4,4.4,Biology,93%,2.9,132,UC San Diego
7270c3a4,2.5,2.5,Political Science,37%,3.8,66,UC San Diego
54ae0c6f,3.5,3.5,Economics,65%,2.7,31,UC San Diego
5a1c3b60,4.5,4.5,Psychology,82%,3.2,27,UC San Diego
4ecd387b,5.0,5.0,Literature,100%,2.3,6,UC San Diego
f56ec96f,4.7,4.7,Gender Studies,100%,1.3,3,UC San Diego
7ca6c426,1.0,1.0,Electrical Engineering & Computer Science,0%,5,1,UC San Diego
97ca919a,3.7,3.7,Mathematics,43%,3.1,385,UC San Diego
ff80e68f,2.9,2.9,Mathematics,47%,3.6,113,UC San Diego
32e16e30,3.8,3.8,Biology,72%,2.9,43,UC San Diego
a8b16af1,4.3,4.3,Management,77%,1.9,13,UC San Diego
ff1238c7,2.1,2.1,Electrical Engineering & Computer Science,28%,4.2,11,UC San Diego
9f8021de,2.8,2.8,Engineering,50%,4.3,4,UC San Diego
8668a107,2.5,2.5,Writing,50%,1.5,2,UC San Diego
fd36702e,1.0,1.0,Public Health,0%,2,2,UC San Diego
99400a14,3.9,3.9,Chemistry,44%,3.9,317,UC San Diego
d3485f47,4.3,4.3,Economics,74%,3.3,299,UC San Diego
80e2da60,4.2,4.2,Mathematics,73%,2.9,236,UC San Diego
48696fdf,3.7,3.7,Chemistry,68%,3.6,203,UC San Diego
8ace1957,4.1,4.1,Mathematics,69%,3.2,72,UC San Diego
7189cefc,4.1,4.1,Humanities,78%,3.3,65,UC San Diego
